epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5607,1.2766,0.98899,1.26288,0.7538,0.70065,0.76429,0.44417,1.19734,1.16968,1.12084,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,5780.81,1.26505,0.97296,1.26222,0.75177,0.70466,0.76427,0.44525,1.19759,1.08039,1.11823,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,5954.48,1.25671,0.96354,1.2508,0.75332,0.70896,0.76743,0.4499,1.19679,1.04065,1.11718,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,6128.07,1.25138,0.9561,1.25015,0.76609,0.69014,0.76553,0.44883,1.19966,1.08321,1.11988,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,6301.68,1.24522,0.93196,1.24586,0.75875,0.70862,0.76845,0.45075,1.19165,1.08331,1.11911,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,6475.36,1.23227,0.9258,1.23776,0.75384,0.70596,0.76944,0.45283,1.19543,1.02375,1.12195,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,6649.35,1.22729,0.9143,1.23422,0.75627,0.70788,0.77221,0.45309,1.19872,1.06543,1.12261,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,6823.25,1.21088,0.90462,1.22623,0.75951,0.69832,0.77063,0.45392,1.19627,1.03715,1.12108,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,6996.87,1.19666,0.87472,1.21534,0.74987,0.71197,0.77097,0.45349,1.20394,1.0706,1.12793,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,7170.93,1.22636,0.82265,1.232,0.7579,0.71471,0.77253,0.45364,1.21132,1.06346,1.133,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,7344.15,1.20465,0.78949,1.22047,0.76054,0.71372,0.7739,0.45384,1.20755,1.02138,1.13429,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,7517.29,1.17814,0.76986,1.20387,0.76768,0.71269,0.77472,0.45762,1.19631,1.04172,1.12426,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,7690.7,1.16946,0.76133,1.19718,0.76921,0.7151,0.77345,0.4577,1.19854,1.02888,1.12691,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,7863.82,1.15625,0.74539,1.18882,0.76248,0.71745,0.77443,0.45693,1.19831,0.98528,1.13006,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,8036.46,1.1408,0.72198,1.17925,0.76813,0.71584,0.77391,0.45695,1.2001,0.98065,1.13306,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,8209.29,1.12158,0.70595,1.17028,0.77003,0.71549,0.77396,0.45853,1.20192,0.968,1.13679,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,8382.62,1.12012,0.68777,1.1641,0.77003,0.71541,0.77339,0.45688,1.20612,0.96278,1.13911,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,8555.89,1.10095,0.67618,1.15508,0.77584,0.71565,0.77553,0.45632,1.21392,0.97692,1.14522,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,8728.92,1.09845,0.67493,1.15138,0.7708,0.71921,0.7753,0.45653,1.2147,0.99624,1.14766,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
