epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,205.481,1.40857,1.68955,1.66169,0.29375,0.21474,0.17691,0.07185,2.126,2.60891,2.15967,0.00137819,0.00137819,0.00137819
23,213.814,1.36648,1.68808,1.65279,0.20099,0.25493,0.14945,0.04399,2.23731,2.71353,2.41543,0.00136444,0.00136444,0.00136444
24,221.918,1.3736,1.68912,1.68723,0.32994,0.38455,0.26207,0.12012,1.99443,2.45108,2.15181,0.00135069,0.00135069,0.00135069
25,229.913,1.35,1.66216,1.64531,0.27277,0.20961,0.16977,0.05182,2.06347,2.74475,2.24605,0.00133693,0.00133693,0.00133693
26,237.714,1.32013,1.66982,1.63089,0.27237,0.39795,0.188,0.06459,1.95128,2.42291,2.07476,0.00132318,0.00132318,0.00132318
27,245.62,1.32201,1.62451,1.63135,0.25934,0.38731,0.19131,0.07659,1.9712,2.44964,2.14757,0.00130943,0.00130943,0.00130943
28,253.388,1.29471,1.60526,1.6202,0.33186,0.31543,0.22219,0.08794,1.95158,2.51698,2.08189,0.00129568,0.00129568,0.00129568
29,261.155,1.26766,1.59888,1.58254,0.34793,0.27581,0.25758,0.08497,2.08499,2.42173,2.20782,0.00128192,0.00128192,0.00128192
30,268.87,1.2642,1.61272,1.60894,0.30928,0.33964,0.25788,0.10157,1.95783,2.57059,2.07415,0.00126817,0.00126817,0.00126817
31,276.654,1.31334,1.58872,1.61006,0.23668,0.342,0.23557,0.09038,1.79966,2.48469,1.96904,0.00125442,0.00125442,0.00125442
32,284.405,1.2805,1.62244,1.58856,0.31837,0.26005,0.22553,0.09632,2.07043,2.59075,2.19255,0.00124066,0.00124066,0.00124066
33,292.163,1.22652,1.53633,1.5748,0.31213,0.42435,0.27195,0.10376,1.98301,2.50613,2.13704,0.00122691,0.00122691,0.00122691
34,300.045,1.23527,1.50841,1.58257,0.24311,0.32388,0.20356,0.08175,1.96197,2.53028,2.06824,0.00121316,0.00121316,0.00121316
35,308.004,1.27904,1.55095,1.59415,0.31864,0.27857,0.20679,0.09516,2.03964,2.61433,2.17415,0.00119941,0.00119941,0.00119941
36,315.792,1.26279,1.56351,1.56702,0.36603,0.44629,0.32831,0.13649,2.0316,2.34848,2.25459,0.00118565,0.00118565,0.00118565
37,323.753,1.23606,1.49197,1.57199,0.21508,0.39795,0.18618,0.06944,1.98102,2.49064,2.07616,0.0011719,0.0011719,0.0011719
38,331.595,1.23002,1.50595,1.5484,0.42084,0.26758,0.27461,0.09983,2.03839,2.41855,2.10676,0.00115815,0.00115815,0.00115815
39,339.372,1.21681,1.46068,1.52904,0.22968,0.32112,0.17638,0.07006,2.06084,2.62239,2.18111,0.0011444,0.0011444,0.0011444
40,347.223,1.23376,1.47061,1.55016,0.23326,0.35028,0.21453,0.08872,1.9314,2.44944,2.10069,0.00113064,0.00113064,0.00113064
41,355.081,1.21368,1.4941,1.53134,0.26337,0.40583,0.24435,0.12794,1.99474,2.4459,2.22935,0.00111689,0.00111689,0.00111689
42,363.438,1.20906,1.44788,1.55079,0.30077,0.3554,0.2383,0.08846,2.03893,2.33132,2.12794,0.00110314,0.00110314,0.00110314
43,371.365,1.24678,1.47995,1.56866,0.27251,0.35264,0.22727,0.09856,2.11987,2.42724,2.21504,0.00108938,0.00108938,0.00108938
44,379.236,1.19947,1.41953,1.53617,0.28951,0.40583,0.24223,0.08408,2.10708,2.30728,2.26494,0.00107563,0.00107563,0.00107563
45,387.125,1.19765,1.45599,1.54115,0.26459,0.39327,0.28485,0.11909,2.00357,2.37638,2.1803,0.00106188,0.00106188,0.00106188
46,394.898,1.20586,1.47755,1.54731,0.28818,0.36328,0.25315,0.1154,2.03332,2.31811,2.22002,0.00104813,0.00104813,0.00104813
47,402.662,1.17359,1.42901,1.52596,0.21208,0.26838,0.1681,0.06767,2.1891,2.64157,2.25288,0.00103437,0.00103437,0.00103437
48,410.451,1.17684,1.37093,1.53601,0.27458,0.39243,0.20622,0.08056,2.03914,2.46425,2.11346,0.00102062,0.00102062,0.00102062
49,418.346,1.16131,1.35225,1.49934,0.30585,0.2892,0.21667,0.08566,2.06273,2.55357,2.20482,0.00100687,0.00100687,0.00100687
50,426.289,1.13417,1.37138,1.49593,0.29422,0.26793,0.22682,0.1118,1.98432,2.50486,2.12327,0.000993115,0.000993115,0.000993115
51,434.142,1.16931,1.37702,1.50046,0.27419,0.35264,0.2263,0.11353,1.94268,2.39278,2.07869,0.000979362,0.000979362,0.000979362
52,441.932,1.1826,1.33976,1.49284,0.38239,0.31836,0.26966,0.11773,2.03567,2.39482,2.13629,0.00096561,0.00096561,0.00096561
53,449.631,1.11715,1.34575,1.48915,0.3999,0.46414,0.31287,0.13718,2.02721,2.1944,2.14398,0.000951857,0.000951857,0.000951857
54,457.703,1.11911,1.32842,1.47922,0.29646,0.38028,0.29832,0.13151,2.03455,2.33108,2.11524,0.000938104,0.000938104,0.000938104
55,465.775,1.13347,1.30643,1.48833,0.32354,0.28408,0.21912,0.10926,2.064,2.46587,2.26232,0.000924352,0.000924352,0.000924352
56,473.599,1.11826,1.34492,1.48526,0.37647,0.36185,0.27464,0.12118,1.97058,2.27425,2.10712,0.000910599,0.000910599,0.000910599
57,481.414,1.13431,1.35433,1.49147,0.38647,0.2929,0.29787,0.12827,2.07195,2.47787,2.15328,0.000896846,0.000896846,0.000896846
58,489.697,1.0765,1.33094,1.45881,0.41264,0.33136,0.31375,0.15648,1.91114,2.33118,2.00815,0.000883093,0.000883093,0.000883093
59,498.331,1.11718,1.28344,1.47201,0.28029,0.40071,0.24275,0.11522,1.88394,2.52971,2.06348,0.00086934,0.00086934,0.00086934
60,506.124,1.12872,1.25935,1.46659,0.32953,0.33964,0.27414,0.1246,2.02322,2.36614,2.10119,0.000855588,0.000855588,0.000855588
61,514.043,1.126,1.26037,1.46111,0.36344,0.32784,0.26308,0.12632,2.02735,2.45818,2.14405,0.000841835,0.000841835,0.000841835
62,521.784,1.08307,1.21893,1.43596,0.5514,0.24389,0.29375,0.13029,2.05922,2.43957,2.16837,0.000828082,0.000828082,0.000828082
63,529.556,1.10906,1.25267,1.47823,0.3559,0.26793,0.241,0.12069,1.96217,2.37565,2.10263,0.000814329,0.000814329,0.000814329
64,537.348,1.06797,1.21993,1.45252,0.44665,0.34752,0.35053,0.17073,1.94356,2.2668,2.12003,0.000800577,0.000800577,0.000800577
65,545.323,1.09973,1.20876,1.46117,0.32441,0.33688,0.26193,0.12653,1.90725,2.32458,2.05429,0.000786824,0.000786824,0.000786824
66,553.188,1.08658,1.23524,1.44772,0.26977,0.38968,0.25867,0.09892,1.9794,2.47804,2.10279,0.000773071,0.000773071,0.000773071
67,560.956,1.06839,1.24815,1.44946,0.45801,0.27857,0.27118,0.11931,2.08761,2.30683,2.17832,0.000759318,0.000759318,0.000759318
68,568.637,1.093,1.24107,1.42854,0.44736,0.34444,0.31384,0.15317,1.93251,2.32018,2.04005,0.000745566,0.000745566,0.000745566
69,576.939,1.03819,1.16469,1.42068,0.41262,0.3818,0.30643,0.14372,1.97074,2.4542,2.1048,0.000731813,0.000731813,0.000731813
70,585.34,1.10372,1.2159,1.43543,0.40254,0.34049,0.29325,0.14065,2.02783,2.39708,2.18972,0.00071806,0.00071806,0.00071806
71,593.831,1.09259,1.22676,1.45212,0.26949,0.41371,0.30237,0.11736,2.03009,2.41947,2.1221,0.000704307,0.000704307,0.000704307
72,601.806,1.0758,1.23269,1.43989,0.37894,0.37828,0.28233,0.12379,1.96233,2.34289,2.09565,0.000690555,0.000690555,0.000690555
73,609.552,1.03503,1.16467,1.42183,0.47643,0.33927,0.31167,0.13814,2.07223,2.40444,2.2168,0.000676802,0.000676802,0.000676802
74,617.441,1.05816,1.15369,1.41347,0.34,0.41095,0.28446,0.11863,2.11093,2.28361,2.19375,0.000663049,0.000663049,0.000663049
75,625.263,1.06473,1.17642,1.42746,0.3973,0.21884,0.22453,0.11215,2.01247,2.38796,2.13727,0.000649297,0.000649297,0.000649297
76,633.028,1.03804,1.17827,1.43023,0.26698,0.36376,0.24889,0.11647,2.04759,2.28609,2.25933,0.000635544,0.000635544,0.000635544
77,641.037,1.03318,1.13566,1.42286,0.30663,0.32264,0.25507,0.12866,1.98694,2.29116,2.14418,0.000621791,0.000621791,0.000621791
78,648.906,1.06217,1.1514,1.42107,0.44402,0.35816,0.34265,0.16925,2.00538,2.25468,2.08961,0.000608038,0.000608038,0.000608038
79,656.796,1.01283,1.12839,1.40278,0.4597,0.32624,0.3057,0.13639,2.06741,2.40923,2.20709,0.000594286,0.000594286,0.000594286
80,664.748,1.0189,1.11457,1.40368,0.30945,0.41923,0.29213,0.12569,2.09962,2.50297,2.22319,0.000580533,0.000580533,0.000580533
81,672.522,1.00253,1.09309,1.36794,0.31585,0.37392,0.28108,0.129,2.09322,2.38513,2.19964,0.00056678,0.00056678,0.00056678
82,680.305,1.00692,1.11812,1.38505,0.41714,0.39082,0.31726,0.15082,1.94146,2.44171,2.09012,0.000553027,0.000553027,0.000553027
83,688.191,0.99026,1.08282,1.38909,0.3011,0.40583,0.30571,0.14552,1.98161,2.37894,2.06853,0.000539275,0.000539275,0.000539275
84,696.172,0.99772,1.08241,1.37435,0.66679,0.33688,0.40574,0.18063,1.89376,2.2138,2.03067,0.000525522,0.000525522,0.000525522
85,704.489,0.97709,1.0551,1.35811,0.38501,0.4302,0.36108,0.15814,1.98479,2.27778,2.14073,0.000511769,0.000511769,0.000511769
86,712.669,0.97924,1.06825,1.36277,0.44357,0.3156,0.31321,0.15982,1.88729,2.23091,2.0523,0.000498016,0.000498016,0.000498016
87,720.49,0.97497,1.03676,1.34235,0.43177,0.41066,0.37124,0.16305,1.96023,2.17019,2.09428,0.000484263,0.000484263,0.000484263
88,728.472,0.98085,1.04219,1.35701,0.4193,0.39243,0.35547,0.1565,2.04634,2.35542,2.18132,0.000470511,0.000470511,0.000470511
89,736.416,0.9411,0.99906,1.3522,0.45587,0.32112,0.31714,0.15696,1.96052,2.50022,2.14744,0.000456758,0.000456758,0.000456758
90,744.281,0.9297,0.98999,1.31883,0.49129,0.3554,0.35109,0.15742,1.96399,2.16401,2.10999,0.000443005,0.000443005,0.000443005
91,752.14,0.94676,1.01916,1.34687,0.44941,0.34752,0.30522,0.15114,1.99486,2.27684,2.1606,0.000429253,0.000429253,0.000429253
92,759.981,0.97805,1.05387,1.35414,0.5016,0.37374,0.38347,0.18057,2.0237,2.19923,2.18095,0.0004155,0.0004155,0.0004155
93,767.743,0.93556,0.99327,1.33312,0.61581,0.38731,0.39488,0.1803,1.99478,2.259,2.16424,0.000401747,0.000401747,0.000401747
94,775.503,0.94164,1.00354,1.3569,0.59137,0.33412,0.38763,0.17161,2.0196,2.23304,2.18327,0.000387994,0.000387994,0.000387994
95,783.329,0.92589,1.00005,1.32263,0.50738,0.3156,0.34687,0.1593,2.00711,2.32997,2.11493,0.000374242,0.000374242,0.000374242
96,791.108,0.86741,0.928,1.29258,0.52418,0.40256,0.39219,0.17839,2.08742,2.35009,2.21138,0.000360489,0.000360489,0.000360489
97,798.875,0.92824,0.96182,1.32205,0.5024,0.29157,0.32422,0.1561,2.11139,2.40152,2.22176,0.000346736,0.000346736,0.000346736
98,806.64,0.90438,0.93306,1.31397,0.43159,0.36879,0.35714,0.17226,2.11034,2.29757,2.27274,0.000332983,0.000332983,0.000332983
99,814.458,0.92807,0.96407,1.31753,0.42786,0.40583,0.3821,0.17853,2.0357,2.29211,2.19417,0.000319231,0.000319231,0.000319231
100,822.433,0.90761,0.95084,1.32308,0.47781,0.41341,0.34967,0.15175,2.09911,2.37524,2.23145,0.000305478,0.000305478,0.000305478
101,831.035,0.90527,0.9583,1.30401,0.43762,0.36879,0.33534,0.14517,2.13493,2.30576,2.24868,0.000291725,0.000291725,0.000291725
102,839.483,0.90569,0.94446,1.32346,0.68677,0.35903,0.41387,0.18131,2.05891,2.21354,2.26159,0.000277972,0.000277972,0.000277972
103,847.706,0.91137,0.93864,1.32275,0.46871,0.33874,0.34161,0.15954,2.09214,2.27726,2.26293,0.00026422,0.00026422,0.00026422
104,855.485,0.88954,0.89232,1.28212,0.3362,0.44563,0.33118,0.15875,2.10617,2.56528,2.26944,0.000250467,0.000250467,0.000250467
105,863.323,0.87819,0.89861,1.29249,0.49302,0.33688,0.37971,0.17842,2.12448,2.27657,2.29629,0.000236714,0.000236714,0.000236714
106,871.448,0.87829,0.88987,1.29323,0.34852,0.43499,0.36572,0.1683,2.13653,2.26092,2.24465,0.000222961,0.000222961,0.000222961
107,879.258,0.87127,0.89126,1.30206,0.42732,0.36367,0.35632,0.17192,2.18045,2.2709,2.29439,0.000209209,0.000209209,0.000209209
108,887.302,0.87929,0.92347,1.29258,0.33221,0.38219,0.3232,0.16098,2.11708,2.27911,2.24081,0.000195456,0.000195456,0.000195456
109,895.034,0.87372,0.88513,1.28675,0.34669,0.45624,0.33788,0.15414,2.18338,2.34454,2.34394,0.000181703,0.000181703,0.000181703
110,902.846,0.88783,0.89373,1.28491,0.33823,0.45784,0.36511,0.1686,2.139,2.2932,2.2428,0.00016795,0.00016795,0.00016795
