epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2153,1.52621,2.98093,1.80216,0.20729,0.20173,0.12423,0.04088,2.26703,2.88002,2.23926,0.000540649,0.000540649,0.000540649
2,29.8067,1.55189,2.1448,1.81947,0.01458,0.31324,0.00881,0.00269,2.96961,nan,4.44738,0.00108727,0.00108727,0.00108727
3,37.5498,1.67356,2.24395,1.92249,0.52196,0.09574,0.01167,0.00313,3.33389,6.01789,3.73319,0.00162472,0.00162472,0.00162472
4,45.3104,1.64736,2.22326,1.91739,0.04529,0.08747,0.00854,0.00215,3.39701,56.0626,8.05474,0.00162574,0.00162574,0.00162574
5,53.8052,1.64859,2.11135,1.91417,0.1435,0.18873,0.09442,0.03277,2.42851,4.29792,3.07262,0.00161199,0.00161199,0.00161199
6,62.6113,1.60241,2.01994,1.87113,0.0399,0.17533,0.01386,0.00379,3.13419,5.43372,3.31588,0.00159824,0.00159824,0.00159824
7,71.5249,1.58785,2.08126,1.88495,0.07613,0.05043,0.02881,0.00888,2.85113,3.56491,2.89573,0.00158448,0.00158448,0.00158448
8,79.8087,1.539,1.99819,1.8046,0.06804,0.17494,0.05806,0.01738,2.52907,3.03986,2.60397,0.00157073,0.00157073,0.00157073
9,88.1394,1.53928,1.94583,1.81265,0.17124,0.25827,0.1566,0.04716,2.28648,2.93552,2.43345,0.00155698,0.00155698,0.00155698
10,96.9274,1.46866,1.92417,1.74866,0.1833,0.35816,0.16092,0.04472,2.42239,2.68206,2.38982,0.00154323,0.00154323,0.00154323
11,105.816,1.47292,1.87615,1.74944,0.24757,0.26807,0.15956,0.05872,2.22674,2.80965,2.34939,0.00152947,0.00152947,0.00152947
12,114.865,1.5175,1.86302,1.78653,0.19771,0.29748,0.19129,0.06474,2.23074,2.68401,2.32092,0.00151572,0.00151572,0.00151572
13,124.229,1.4493,1.84828,1.72985,0.20247,0.31836,0.16394,0.07324,2.07339,2.47358,2.1975,0.00150197,0.00150197,0.00150197
14,133.312,1.45685,1.83344,1.73075,0.26164,0.40347,0.22126,0.08242,2.1171,2.48525,2.14136,0.00148821,0.00148821,0.00148821
15,142.56,1.44304,1.82521,1.73842,0.59321,0.14984,0.16212,0.06984,2.19901,2.83766,2.35254,0.00147446,0.00147446,0.00147446
16,151.783,1.40531,1.83405,1.70526,0.32461,0.11939,0.12845,0.04367,2.21897,3.01016,2.30242,0.00146071,0.00146071,0.00146071
17,161.644,1.41275,1.78246,1.6888,0.2463,0.19622,0.17527,0.07775,2.04368,2.90424,2.21581,0.00144696,0.00144696,0.00144696
18,170.402,1.43458,1.77566,1.7067,0.28437,0.25912,0.19478,0.07389,2.1556,2.54522,2.25453,0.0014332,0.0014332,0.0014332
19,179.046,1.39154,1.78801,1.7022,0.22004,0.26281,0.15986,0.05382,2.00492,2.7121,2.12333,0.00141945,0.00141945,0.00141945
20,187.801,1.39459,1.77685,1.67775,0.28727,0.33791,0.28815,0.11824,2.01015,2.41744,2.18093,0.0014057,0.0014057,0.0014057
21,196.776,1.35369,1.68759,1.65321,0.23519,0.29196,0.17953,0.0519,2.30647,2.63438,2.45717,0.00139195,0.00139195,0.00139195
