epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,140.306,1.20374,1.40384,1.51408,0.44941,0.24812,0.2444,0.10678,1.9005,2.3494,2.07435,0.000676802,0.000676802,0.000676802
32,144.322,1.16728,1.44898,1.50806,0.34182,0.24429,0.21861,0.10091,1.81861,2.40134,1.99888,0.000643795,0.000643795,0.000643795
33,148.433,1.10226,1.36485,1.47311,0.3868,0.36551,0.31332,0.12229,1.84358,2.27926,2.02569,0.000610789,0.000610789,0.000610789
34,152.598,1.11252,1.35542,1.47669,0.41111,0.33843,0.28891,0.12582,1.90708,2.29494,2.13868,0.000577782,0.000577782,0.000577782
35,156.718,1.12388,1.35834,1.48925,0.41902,0.27276,0.27196,0.10883,1.93133,2.41479,2.08831,0.000544776,0.000544776,0.000544776
36,160.749,1.141,1.35668,1.48235,0.34897,0.329,0.25238,0.11386,1.95397,2.45255,2.18329,0.000511769,0.000511769,0.000511769
37,164.829,1.11136,1.3361,1.48898,0.30371,0.39795,0.24295,0.09627,1.98131,2.50939,2.12863,0.000478762,0.000478762,0.000478762
38,168.975,1.0912,1.34065,1.45287,0.5179,0.28645,0.31678,0.13929,1.86988,2.34294,2.02699,0.000445756,0.000445756,0.000445756
39,173.102,1.07333,1.31525,1.44328,0.31753,0.35264,0.26966,0.09895,1.87659,2.43465,2.02578,0.000412749,0.000412749,0.000412749
40,177.212,1.08215,1.33646,1.4423,0.35592,0.35217,0.25045,0.10356,1.88742,2.48524,2.05674,0.000379743,0.000379743,0.000379743
41,194.435,1.18141,1.38316,1.56956,0.30217,0.35825,0.22271,0.10195,1.90312,2.467,2.0584,0.000346736,0.000346736,0.000346736
42,198.623,1.11292,1.266,1.54054,0.3749,0.35867,0.29065,0.14422,1.92421,2.11301,2.09207,0.000313729,0.000313729,0.000313729
43,202.702,1.13585,1.22755,1.56409,0.41187,0.37667,0.28466,0.12857,1.91194,2.22223,2.14507,0.000280723,0.000280723,0.000280723
44,206.74,1.11559,1.18672,1.54715,0.39487,0.39007,0.3189,0.14251,1.96082,2.11954,2.16359,0.000247716,0.000247716,0.000247716
45,210.799,1.09464,1.13974,1.53111,0.37599,0.36879,0.30712,0.14876,1.95053,2.15289,2.16693,0.00021471,0.00021471,0.00021471
46,214.831,1.06511,1.1463,1.51274,0.41992,0.3016,0.30137,0.15671,1.89043,2.16012,2.09528,0.000181703,0.000181703,0.000181703
47,218.901,1.08321,1.13486,1.51615,0.39402,0.329,0.30506,0.14515,1.90109,2.26447,2.11924,0.000148696,0.000148696,0.000148696
48,223.015,1.01536,1.08484,1.45532,0.44851,0.36091,0.31243,0.14846,1.87041,2.10727,2.07415,0.00011569,0.00011569,0.00011569
49,227.022,1.00911,1.05443,1.44257,0.44432,0.37155,0.32447,0.15211,1.8752,2.14178,2.07987,8.26832e-05,8.26832e-05,8.26832e-05
50,231.109,1.04714,1.06535,1.46848,0.41937,0.39698,0.32827,0.14864,1.87812,2.17399,2.07854,4.96766e-05,4.96766e-05,4.96766e-05
